Conut - Tyre,,,,
Sales by Items By Group,,,,
LOTUS SPREAD CONUT.,,17.0,0.00,
WHITE CHOCOLATE SPREAD CONUT.,,399.0,0.00,
[NO SPREAD],,1.0,0.00,
30-Jan-26,Years:2025 Months:0,,Page 4 of, 45
Description,Barcode,Qty,Total Amount,
PISTACHIO SPREAD CONUT.,,4.0,"121,837.83",
NO SPREAD.,,18.0,0.00,
Total by Group: Free Conut Spreads,,1710.0,"121,837.83",
Total by Division: Free Conut Spreads,,1710.0,"121,837.83",
Division: Free Chimney Cake Spreads,,,,
Group: Free Chimney Cake Spreads,,,,
NUTELLA SPREAD CHIMNEY.,,1080.0,0.00,
LOTUS SPREAD CHIMNEY.,,43.0,0.00,
WHITE CHOCOLATE SPREAD CHIMNEY.,,222.0,0.00,
PISTACHIO SPREAD CHIMNEY.,,11.0,"655,540.53",
NO SPREAD,,32.0,0.00,
Total by Group: Free Chimney Cake Spreads,,1388.0,"655,540.53",
Total by Division: Free Chimney Cake Spreads,,1388.0,"655,540.53",
Division: ITEMS,,,,
Group: ITEMS,,,,
CLASSIC CHIMNEY,,301.0,"179,379,731.76",
MINI THE ONE,,254.0,"128,832,920.78",
MINI THE ORIGINAL,,184.0,"87,723,242.07",
CONUT THE ORIGINAL,,380.0,"328,617,838.79",
CHIMNEY THE ORIGINAL,,140.0,"166,864,864.70",
CONUT THE ONE,,680.0,"607,864,866.76",
CHIMNEY THE ONE,,635.0,"794,693,917.66",
MINI PISTACHIO,,134.0,"83,938,325.09",
CONUT PISTACHIO,,326.0,"330,273,243.63",
CHIMNEY PISTACHIO,,227.0,"324,671,350.36",
MINI BOSTON CHEESECAKE,,61.0,"32,717,432.00",
CONUT BOSTON CHEESECAKE,,121.0,"111,849,783.99",
CHIMNEY BOSTON CHEESECAKE,,60.0,"78,664,864.70",
MINI BERRY MIX,,102.0,"51,736,054.80",
CONUT BERRY MIX,,228.0,"203,813,514.15",
CHIMNEY BERRY MIX,,86.0,"107,627,837.67",
ICE CREAM BOWL,,266.0,"158,521,623.42",
CONUT BITES,,114.0,"74,731,622.30",
CINNAMON SUGAR RINGS,,22.0,"9,177,567.45",
CHOCOLATE CHIPS RINGS,,5.0,"2,383,783.75",
CONUT TRIPLE CHOCOLATE,,422.0,"390,087,676.40",
MINI TRIPLE CHOCOLATE,,169.0,"90,643,377.17",
30-Jan-26,Years:2025 Months:0,,Page 5 of, 45
Description,Barcode,Qty,Total Amount,
CHIMNEY TRIPLE CHOCOLATE,,225.0,"294,993,242.62",
CHIMNEY COMBO.,,18.0,"70,798,378.86",
CONUT COMBO,,33.0,"90,464,594.36",
THE SHARING BOX.,,66.0,"110,130,811.28",
THE ONE CONUT,,33.0,0.00,
THE ONE MINI,,66.0,0.00,
THE ONE CHIMNEY,,18.0,0.00,
PISTACHIO CONUT,,33.0,0.00,
PISTACHIO MINI,,66.0,0.00,
PISTACHIO CHIMNEY,,18.0,0.00,
TRIPLE CHOCOLATE CONUT,,33.0,0.00,
TRIPLE CHOCOLATE MINI,,66.0,0.00,
TRIPLE CHOCOLATE CHIMNEY,,18.0,0.00,
BOSTON CHEESECAKE CONUT,,33.0,0.00,
BOSTON CHEESECAKE MINI,,66.0,0.00,
BOSTON CHEESECAKE CHIMNEY,,18.0,0.00,
TIRAMISU MINI CONUT,,14.0,"8,343,243.34",
TIRAMISU CONUT,,33.0,"31,465,946.01",
TIRAMISU CHIMNEY,,43.0,"56,376,486.37",
Total by Group: ITEMS,,5817.0,"5,007,388,142.23",
Total by Division: ITEMS,,5817.0,"5,007,388,142.23",
Division: EXTRA MINI SPREAD,,,,
Group: EXTRA MINI SPREAD,,,,
NUTELLA SPREAD MINI,,6.0,"357,567.56",
"NO SPREAD,.",,129.0,0.00,
Total by Group: EXTRA MINI SPREAD,,135.0,"357,567.56",
Total by Division: EXTRA MINI SPREAD,,135.0,"357,567.56",
Division: EXTRA CONUT SPREAD,,,,
Group: EXTRA CONUT SPREAD,,,,
NUTELLA SPREAD CONUT,,16.0,"1,440,864.84",
LOTUS SPREAD CONUT,,3.0,"270,162.16",
WHITE CHOCOLATE SPREAD CONUT,,2.0,"180,108.10",
PISTACHIO SPREAD CONUT,,1.0,"119,189.19",
NO SPREAD..,,427.0,0.00,
Total by Group: EXTRA CONUT SPREAD,,449.0,"2,010,324.28",
Total by Division: EXTRA CONUT SPREAD,,449.0,"2,010,324.28",
Division: EXTRA CHIMNEY SPREAD,,,,
30-Jan-26,Years:2025 Months:0,,Page 6 of, 45
Description,Barcode,Qty,Total Amount,
Group: EXTRA CHIMNEY SPREAD,,,,
NUTELLA SPREAD CHIMNEY,,16.0,"2,860,540.50",
LOTUS SPREAD CHIMNEY,,11.0,"1,966,621.60",
WHITE CHOCOLATE SPREAD CHIMNEY,,2.0,"357,567.56",
PISTACHIO SPREAD CHIMNEY,,2.0,"476,756.75",
"NO SPREAD,,",,271.0,0.00,
Total by Group: EXTRA CHIMNEY SPREAD,,302.0,"5,661,486.41",
Total by Division: EXTRA CHIMNEY SPREAD,,302.0,"5,661,486.41",
Division: MINI/CONUT/BOWL TOPPINGS,,,,
Group: MINI/CONUT/BOWL TOPPINGS,,,,
CRUSHED OREO (R),,1.0,"90,054.05",
BROWNIES (R),,8.0,"720,432.42",
CRISPY CREPE (R),,1.0,"90,054.05",
STRAWBERRIES (R),,17.0,"1,530,918.89",
BLUEBERRIES (P),,2.0,"238,378.38",
RASPBERRIES (P),,3.0,"357,567.56",
SPRINKLES (R),,4.0,"360,216.21",
DARK CHOCOLATE SAUCE (R),,1.0,"90,054.05",
CARAMEL SAUCE (R),,1.0,"90,054.05",
PASSION FRUIT SAUCE (P),,2.0,"238,378.38",
SALTED CARAMEL SAUCE (R),,1.0,"90,054.05",
NUTELLA SAUCE (R),,3.0,"270,162.16",
PISTACHIO SAUCE (P),,1.0,"119,189.19",
"WHITE CHOCOLATE SAUCE, (R)",,1.0,"90,054.05",
LOTUS SAUCE (R),,1.0,"90,054.05",
FRUIT LOOPS (R),,1.0,"90,054.05",
CHERRY JAM (P),,2.0,"238,378.38",
GUMMY BEARS (R),,1.0,"90,054.05",
MARSHMALLOWS (R),,6.0,"540,324.31",
Total by Group: MINI/CONUT/BOWL TOPPINGS,,57.0,"5,424,432.33",
Total by Division: MINI/CONUT/BOWL TOPPINGS,,57.0,"5,424,432.33",
Division: CHIMNEY TOPPINGS,,,,
Group: CHIMNEY TOPPINGS,,,,
CRUSHED OREO.,,30.0,"5,363,513.44",
CRUSHED LOTUS.,,14.0,"2,502,972.94",
CRISPY CREPE.,,4.0,"715,135.13",
BROWNIES.,,36.0,"6,436,216.13",
30-Jan-26,Years:2025 Months:0,,Page 7 of, 45
Description,Barcode,Qty,Total Amount,
STRAWBERRY.,,168.0,"30,035,675.28",
SPRINKLES.,,8.0,"1,430,270.25",
BLUEBERRIES.,,43.0,"10,250,270.13",
RASPBERRIES.,,15.0,"3,575,675.63",
PEANUT BUTTER CUPS.,,2.0,"476,756.75",
DARK CHOCOLATE SAUCE.,,9.0,"1,609,054.03",
NUTELLA SAUCE.,,65.0,"11,620,945.79",
LOTUS SAUCE.,,19.0,"3,396,891.85",
WHIPPED  CREAM.,,8.0,"1,907,027.00",
CARAMEL SAUCE.,,4.0,"715,135.13",
PISTACHIO SAUCE.,,25.0,"5,959,459.38",
DARK CHOCOLATE CHIPS.,,8.0,"1,907,027.00",
FRUIT LOOPS.,,5.0,"893,918.91",
GRANOLA BERRIES.,,2.0,"476,756.75",
RASPBERRY JAM.,,1.0,"238,378.38",
CHERRY JAM.,,1.0,"238,378.38",
GUMMY BEARS.,,16.0,"2,860,540.50",
MARSHMALLOWS.,,29.0,"5,184,729.66",
SALTED PRETZELS.,,2.0,"357,567.56",
Total by Group: CHIMNEY TOPPINGS,,514.0,"98,152,295.99",
Total by Division: CHIMNEY TOPPINGS,,514.0,"98,152,295.99",
Division: EXTRA DIP,,,,
Group: EXTRA DIP,,,,
NUTELLA DIP (R),,6.0,"715,135.13",
LOTUS DIP (R),,1.0,"119,189.19",
WHITE CHOCOLATE DIP (R),,2.0,"238,378.38",
CARAMEL DIP (R),,2.0,"238,378.38",
DARK CHOCOLATE DIP (R),,3.0,"357,567.56",
PISTACHIO DIP (P),,5.0,"1,191,891.88",
RASPBERRY JAM DIP (P),,1.0,"238,378.38",
CHERRY JAM DIP (P),,2.0,"476,756.75",
Total by Group: EXTRA DIP,,22.0,"3,575,675.63",
Total by Division: EXTRA DIP,,22.0,"3,575,675.63",
Division: free mini spread,,,,
Group: FREE MINI SPREAD,,,,
NUTELLA SPREAD MINI.,,526.0,0.00,
LOTUS SPREAD MINI.,,8.0,0.00,
WHITE CHOCOLATE SPREAD MINI.,,158.0,0.00,
30-Jan-26,Years:2025 Months:0,,Page 8 of, 45
Description,Barcode,Qty,Total Amount,
PISTACHIO SPREAD MINI.,,4.0,"121,837.83",
NO SPREAD .,,85.0,0.00,
Total by Group: FREE MINI SPREAD,,781.0,"121,837.83",
Total by Division: free mini spread,,781.0,"121,837.83",
Division: FREE CONUT TOP,,,,
Group: FREE CONUT TOP,,,,
"STRAWBERRY , (R)",,1221.0,0.00,
"BLUEBERRIES, (P)",,58.0,"1,766,648.59",
"CRUSHED OREO, (R)",,46.0,0.00,
"CRUSHED LOTUS , (R)",,167.0,0.00,
"SPRINKLES , (R)",,55.0,0.00,
"BROWNIES , (R)",,824.0,0.00,
SALTED CARAMEL SAUCE . (R),,1.0,0.00,
WHIPPED CREAM . (P),,8.0,"243,675.67",
"LOTUS SAUCE , (R)",,47.0,0.00,
"WHITE CHOCOLATE SAUCE , (R)",,6.0,0.00,
"CARAMEL SAUCE , (R)",,586.0,0.00,
NO TOPPINGS.,,75.0,0.00,
"RASPBERRIES, (P)",,15.0,"456,891.88",
"DARK CHOCOLATE CHIPS, (P)",,25.0,"761,486.46",
"GRANOLA BERRIES, (P)",,22.0,"670,108.08",
"PEANUT BUTTER CUP , (P)",,4.0,"121,837.83",
PISTACHIO SAUCE . (P),,95.0,"2,893,648.55",
"PASSION FRUITS SAUCE ,(P)",,9.0,"274,135.13",
"RASPBERRY JAM , (P)",,13.0,"395,972.96",
"CHERRY JAM, (P)",,6.0,"182,756.75",
GUMMY BEARS . (R),,46.0,0.00,
"MARSHMALLOWS , (R)",,68.0,0.00,
CRISPY CREPE . (R),,16.0,0.00,
"SALTED PRETZELS , (R)",,1.0,0.00,
NUTELLA SAUCE . (R),,1216.0,0.00,
"DARK CHOCOLATE SAUCE , (R)",,4.0,0.00,
FRUIT LOOPS . (R),,15.0,0.00,
"WHIPPED CREAM  ,",,175.0,0.00,
SWITCH TO ICE CREAM,,20.0,"7,151,351.26",
PISTACHIO TOPPING,,266.0,0.00,
Total by Group: FREE CONUT TOP,,5110.0,"14,918,513.15",
Total by Division: FREE CONUT TOP,,5110.0,"14,918,513.15",
30-Jan-26,Years:2025 Months:0,,Page 9 of, 45
Description,Barcode,Qty,Total Amount,
Division: FREE CHIMNEY TOP,,,,
Group: FREE CHIMNEY TOP,,,,
"STRAWBERRY,(R)",,869.0,0.00,
BROWNIES . (R),,370.0,0.00,
CRUSHED OREO .(R),,16.0,0.00,
CRUSHED LOTUS .(R),,54.0,0.00,
SPRINKLES .(R),,6.0,0.00,
"NUTELLA SAUCE,(R)",,577.0,0.00,
"LOTUS SAUCE,(R)",,16.0,0.00,
WHITE CHOCOLATE SAUCE .(R),,11.0,0.00,
"CARAMEL SAUCE, (R)",,432.0,0.00,
NO TOPPINGS,,30.0,0.00,
"BLUEBERRIES , (P)",,27.0,"1,609,054.03",
"RASPBERRIES ,(P)",,4.0,"238,378.38",
"DARK CHOCOLATE CHIPS ,(P)",,7.0,"417,162.16",
"GRANOLA BERRIES ,(P)",,1.0,"59,594.59",
"WHIPPED CREAM,",,3.0,"178,783.78",
"PISTACHIO SAUCE ,(P)",,63.0,"3,754,459.41",
"PASSION FRUIT SAUCE,(P)",,1.0,"59,594.59",
"RASPBERRY JAM,(P)",,4.0,"238,378.38",
"CHERRY JAM ,(P)",,2.0,"119,189.19",
"GUMMY BEARS ,(R)",,3.0,0.00,
"MARSHMALLOWS,(R)",,10.0,0.00,
"CRISPY CREPE,(R)",,2.0,0.00,
"DARK CHOCOLATE SAUCE,(R)",,7.0,0.00,
"FRUIT LOOPS,(R)",,1.0,0.00,
"WHIPPED CREAM   ,",,70.0,0.00,
"SWITCH TO ICE CREAM,",,7.0,"1,668,648.63",
"PISTACHIO TOPPING,",,155.0,0.00,
Total by Group: FREE CHIMNEY TOP,,2748.0,"8,343,243.13",
Total by Division: FREE CHIMNEY TOP,,2748.0,"8,343,243.13",
Division: FREE MINI TOP,,,,
Group: FREE MINI TOP,,,,
"NUTELLA SAUCE ,(R)",,444.0,0.00,
BLUEBERRIES .(P),,9.0,"243,675.67",
RASPBERRIES .(P),,2.0,"60,918.92",
DARK CHOCOLATE CHIPS .(P),,7.0,"213,216.21",
GRANOLA BERRIES .(P),,0.0,0.00,
30-Jan-26,Years:2025 Months:0,,Page 10 of, 45
Description,Barcode,Qty,Total Amount,
"WHIPPED CREAM ,(P)",,1.0,"30,459.46",
"PISTACHIO SAUCE,(P)",,27.0,"791,945.92",
CHERRY JAM .(P),,2.0,"30,459.46",
"GUMMY BEARS,(R)",,8.0,0.00,
MARSHMALLOWS .(R),,15.0,0.00,
"CRISPY CREPE ,(R)",,2.0,0.00,
"SALTED PRETZELS,(R)",,1.0,0.00,
STRAWBERRY .(R),,465.0,0.00,
"BROWNIES,(R)",,310.0,0.00,
"CRUSHED OREO ,(R)",,13.0,0.00,
"CRUSHED LOTUS,(R)",,72.0,0.00,
"SPRINKLES,(R)",,11.0,0.00,
LOTUS SAUCE .(R),,12.0,0.00,
"CARAMEL SAUCE  ,(R)",,200.0,0.00,
DARK CHOCOLATE SAUCE .(R),,1.0,0.00,
"FRUIT LOOPS ,(R)",,2.0,0.00,
"NO TOPPINGS ,",,29.0,0.00,
WHIPPED CREAM  .,,85.0,0.00,
switch to ice cream.,,4.0,"1,430,270.25",
PISTACHIO TOPPING.,,109.0,0.00,
Total by Group: FREE MINI TOP,,1831.0,"2,800,945.88",
Total by Division: FREE MINI TOP,,1831.0,"2,800,945.88",
Division: free dip,,,,
Group: free dip,,,,
NUTELLA DIP.(R),,100.0,0.00,
LOTUS DIP.(R),,7.0,0.00,
WHITE CHOCOLATE DIP.(R),,6.0,0.00,
CARAMEL DIP.(R),,6.0,0.00,
SALTED CARAMEL DIP.(R),,6.0,0.00,
DARK CHOCOLATE DIP.(R),,7.0,0.00,
NO DIP,,1.0,0.00,
CHERRY JAM DIP.(P),,3.0,"357,567.56",
PISTACHIO DIP.(P),,3.0,"357,567.56",
PASSION FRUITS DIP.(P),,2.0,"238,378.38",
Total by Group: free dip,,141.0,"953,513.50",
Total by Division: free dip,,141.0,"953,513.50",
Division: coffee type,,,,
Group: coffee type,,,,
30-Jan-26,Years:2025 Months:0,,Page 11 of, 45
Description,Barcode,Qty,Total Amount,
DECAF,,19.0,0.00,
REGULAR.,,240.0,0.00,
Total by Group: coffee type,,259.0,0.00,
Total by Division: coffee type,,259.0,0.00,
Division: DRINK TYPE,,,,
Group: DRINK TYPE,,,,
HOT,,142.0,0.00,
ICED,,19.0,0.00,
Total by Group: DRINK TYPE,,161.0,0.00,
Total by Division: DRINK TYPE,,161.0,0.00,
Division: MILK OPTIONS,,,,
Group: MILK OPTIONS,,,,
MILK OPTIONS,,21.0,0.00,
FULL FAT MILK,,204.0,0.00,
SKIMMED MILK.,,11.0,0.00,
LACTOSE FREE MILK.,,19.0,0.00,
Total by Group: MILK OPTIONS,,255.0,0.00,
Total by Division: MILK OPTIONS,,255.0,0.00,
Division: MARSHMALLOW OPTIONS,,,,
Group: MARSHMALLOW OPTIONS,,,,
TOASTED MARSHMALLOWS,,2.0,"238,378.38",
NO MARSHMALLLOWS,,2.0,0.00,
Total by Group: MARSHMALLOW OPTIONS,,4.0,"238,378.38",
Total by Division: MARSHMALLOW OPTIONS,,4.0,"238,378.38",
Division: CONUT''S FAVORITE,,,,
Group: CONUT''S FAVORITE,,,,
HOT CHOCOLATE,,4.0,"1,907,027.00",
MATCHA LATTE,,3.0,"1,787,837.86",
AFFOGATO,,1.0,"536,351.34",
Total by Group: CONUT''S FAVORITE,,8.0,"4,231,216.20",
Total by Division: CONUT''S FAVORITE,,8.0,"4,231,216.20",
Total by Branch: Conut - Tyre,,"23,863.00","5,505,805,539.90",
Branch: Conut,,,,
Division: Hot-Coffee Based,,,,
Group: Hot-Coffee Based,,,,
AMERICAN COFFEE,,3.0,"1,072,702.69",
CAPPUCCINO,,3.0,"1,251,486.47",
30-Jan-26,Years:2025 Months:0,,Page 12 of, 45
Description,Barcode,Qty,Total Amount,
CAFFE LATTE,,19.0,"7,926,080.98",
CAFE MOCHA,,9.0,"4,564,946.01",
CARAMEL MACHIATO,,5.0,"2,681,756.72",
CAFFE AMERICANO,,16.0,"4,264,324.26",
SINGLE ESPRESSO,,7.0,"1,668,648.63",
DOUBLE ESPRESSO,,31.0,"10,181,405.25",
WHITE MOCHA,,4.0,"2,028,864.89",
FLAT WHITE,,3.0,"1,164,081.06",
Total by Group: Hot-Coffee Based,,100.0,"36,804,296.96",
Group: Free Dressing,,,,
[CARAMEL DRESSING],,26.0,0.00,
[CHOCOLATE DRESSING],,29.0,0.00,
[NO DRESSING],,24.0,0.00,
[STRAWBERRY DRESSING],,10.0,0.00,
[SALTED CARAMEL DRESSING],,10.0,0.00,
Total by Group: Free Dressing,,99.0,0.00,
Group: Free Whipped Cream,,,,
WHIPPED CREAM...,,42.0,0.00,
NO WHIPPED CREAM,,61.0,0.00,
Total by Group: Free Whipped Cream,,103.0,0.00,
Group: CHIMNEY CAKE OPTIONS,,,,
PRESSED,,215.0,0.00,
REGULAR,,45.0,0.00,
Total by Group: CHIMNEY CAKE OPTIONS,,260.0,0.00,
Group: OPTIONS ICE CREAM,,,,
ICE CREAM ON TOP,,257.0,0.00,
ICE CREAM ON THE SIDE,,249.0,0.00,
Total by Group: OPTIONS ICE CREAM,,506.0,0.00,
Total by Division: Hot-Coffee Based,,1068.0,"36,804,296.96",
Division: Bev Add-ons,,,,
Group: Bev Add-ons,,,,
WHIPPED CREAM,,4.0,"476,756.75",
"CARAMEL  SAUCE,",,4.0,"360,216.21",
VANILLA SYRUP,,3.0,"270,162.16",
EXTRA ESPRESSO SHOT,,1.0,"90,054.05",
Total by Group: Bev Add-ons,,12.0,"1,197,189.17",
Total by Division: Bev Add-ons,,12.0,"1,197,189.17",
Division: Frappes,,,,
30-Jan-26,Years:2025 Months:0,,Page 13 of, 45
Description,Barcode,Qty,Total Amount,
Group: Frappes,,,,
MOCHA FRAPPE,,14.0,"7,508,918.82",
CARAMEL MOCHA FRAPPE,,3.0,"1,609,054.03",
HAZELNUT MOCHA FRAPPE,,2.0,"1,072,702.69",
CARAMEL FRAPPE,,8.0,"4,290,810.75",
VANILLA FRAPPE,,2.0,"1,072,702.69",
WHITE MOCHA FRAPPE,,4.0,"2,145,405.38",
SALTED CARAMEL FRAPPE,,2.0,"1,072,702.69",
ESPRESSO FRAPPE,,2.0,"895,243.23",
TOFFEE NUT FRAPPE,,1.0,"536,351.34",
Total by Group: Frappes,,38.0,"20,203,891.62",
Total by Division: Frappes,,38.0,"20,203,891.62",
Division: Shakes,,,,
Group: Shakes,,,,
VANILLA MILKSHAKE,,14.0,"7,508,918.82",
OREO MILKSHAKE,,19.0,"13,587,567.67",
STRAWBERRY MILKSHAKE,,12.0,"8,581,621.68",
SALTED CARAMEL MILKSHAKE,,8.0,"6,197,837.87",
PISTACHIO MILKSHAKE,,4.0,"3,575,675.69",
GRANOLA BERRIES MILKSHAKE,,2.0,"1,549,459.47",
DOUBLE CHOCOLATE MILKSHAKE,,4.0,"3,098,918.94",
FRUIT LOOPS MILKSHAKE,,1.0,"774,729.73",
TOFFEE NUT MILKSHAKE,,3.0,"2,324,189.20",
Total by Group: Shakes,,67.0,"47,198,919.07",
Total by Division: Shakes,,67.0,"47,198,919.07",
Division: Hot and Cold Drinks,,,,
Group: Hot and Cold Drinks,,,,
ICED CHOCOLATE,,3.0,"1,342,864.84",
WATER,,907.0,"72,069,724.84",
VIA SPARKLING WATER,,24.0,"4,290,810.75",
MANGO PASSION,,22.0,"9,177,567.45",
MELON PASSION,,7.0,"2,920,135.10",
WILD BERRIES,,13.0,"5,423,108.04",
WILD BERRIES PASSION,,2.0,"834,324.31",
Total by Group: Hot and Cold Drinks,,978.0,"96,058,535.33",
Group: TEA FLAVORS,,,,
EARL GREY,,1.0,"297,972.97",
GREEN TEA,,2.0,"595,945.94",
30-Jan-26,Years:2025 Months:0,,Page 14 of, 45
Description,Barcode,Qty,Total Amount,
PEPPERMINT TEA,,1.0,"297,972.97",
PEACH ICED TEA,,7.0,"2,920,135.10",
RASPBERRY ICED TEA,,3.0,"1,251,486.47",
Total by Group: TEA FLAVORS,,14.0,"5,363,513.44",
Total by Division: Hot and Cold Drinks,,992.0,"101,422,048.77",
Division: Conuts,,,,
Group: Conuts,,,,
NO CINNAMON,,11.0,0.00,
Total by Group: Conuts,,11.0,0.00,
Total by Division: Conuts,,11.0,0.00,
Division: Extras and Sides,,,,
Group: Extras and Sides,,,,
ADD ICE CREAM,,324.0,"154,469,187.13",
Total by Group: Extras and Sides,,324.0,"154,469,187.13",
Total by Division: Extras and Sides,,324.0,"154,469,187.13",
Division: Delivery Service,,,,
Group: Delivery,,,,
DELIVERY CHARGE,,216.0,"51,489,729.04",
SEND CUTLERY,,3.0,0.00,
TAKE AWAY,,216.0,0.00,
Total by Group: Delivery,,435.0,"51,489,729.04",
Total by Division: Delivery Service,,435.0,"51,489,729.04",
Division: Free Conut Spreads,,,,
Group: Free Conut Spreads,,,,
NUTELLA SPREAD CONUT.,,972.0,0.00,
LOTUS SPREAD CONUT.,,50.0,0.00,
WHITE CHOCOLATE SPREAD CONUT.,,184.0,0.00,
PISTACHIO SPREAD CONUT.,,7.0,"213,216.21",
NO SPREAD.,,31.0,0.00,
Total by Group: Free Conut Spreads,,1244.0,"213,216.21",
Total by Division: Free Conut Spreads,,1244.0,"213,216.21",
Division: Free Chimney Cake Spreads,,,,
Group: Free Chimney Cake Spreads,,,,
