Conut - Tyre,,,,,,,,,,
Summary By Division,,,,,,,,,,
,Hot and Cold Drinks,0,0,62018105.21,42189187.22,,,,,
,Hot-Coffee Based,0,0,72108134.45,49053152.69,,,,,
,ITEMS,175251811.1,0,4832136331,3406386491,,,,,
,MARSHMALLOW OPTIONS,0,0,238378.38,162162.16,,,,,
,MILK OPTIONS,0,0,0,0,,,,,
,MINI/CONUT/BOWL ,360216.21,0,5064216.12,3690090.02,,,,,
,Shakes,4648378.4,0,49523108.23,36851351.45,,,,,
,coffee type,0,0,0,0,,,,,
,free dip,0,0,953513.5,648648.64,,,,,
,,DELIVERY,TABLE,TAKE AWAY,TOTAL,,,,,
Conut - Tyre,free mini spread,0,0,121837.83,82882.88,,,,,
,TOTAL,212801702.5,0,5293003837,3745445946,,,,,
Conut Jnah,Bev Add-ons,0,5673405.29,0,3859459.38,,,,,
,CHIMNEY TOPPINGS,0,61144053.24,0,41594594.04,,,,,
,CONUT''S FAVORITE,0,34217891.79,0,23277477.41,,,,,
,Conuts,0,0,0,0,,,,,
,DRINK TYPE,0,0,0,0,,,,,
,Delivery Service,0,64362161.3,0,43783783.2,,,,,
,EXTRA CHIMNEY ,0,7091756.66,0,4824324.26,,,,,
,EXTRA CONUT ,0,2100378.34,0,1428828.8,,,,,
,EXTRA DIP,0,3098918.88,0,2108108.08,,,,,
,EXTRA MINI SPREAD,0,268837.83,0,182882.88,,,,,
,Extras and Sides,0,131584863.1,0,89513512.32,,,,,
,FREE CHIMNEY TOP,0,13825945.76,0,9405405.28,,,,,
,FREE CONUT TOP,0,13395540.23,0,9112612.4,,,,,
,FREE MINI TOP,0,3721351.28,0,2531531.48,,,,,
,Frappes,0,112376863.5,0,76446845.92,,,,,
,Free Chimney Cake Spreads,0,1251486.47,0,851351.34,,,,,
,Free Conut Spreads,0,60918.92,0,41441.44,,,,,
,Holder,0,0,0,0,,,,,
,Hot and Cold Drinks,0,244851662.6,0,166565756.9,,,,,
,Hot-Coffee Based,0,337104104.8,0,229322520.3,,,,,
,ITEMS,0,4501829978,0,3062469373,,,,,
,MARSHMALLOW OPTIONS,0,1787837.81,0,1216216.2,,,,,
,MILK OPTIONS,0,0,0,0,,,,,
,MINI/CONUT/BOWL ,0,10324432.25,0,7023423.3,,,,,
,Shakes,0,138855405.8,0,94459459.72,,,,,
,coffee type,0,0,0,0,,,,,
,free dip,0,357567.56,0,243243.24,,,,,
,,DELIVERY,TABLE,TAKE AWAY,TOTAL,,,,,
Conut Jnah,free mini spread,0,60918.92,0,41441.44,,,,,
,TOTAL,0,5689346280,0,3870303592,,,,,
Main Street Coffee,Bev Add-ons,0,7225513.37,0,4915315.22,,,,,
,CHIMNEY TOPPINGS,0,57151215.45,0,38878377.86,,,,,
,CONUT''S FAVORITE,0,40643513.06,0,27648648.34,,,,,
,Conuts,0,0,0,0,,,,,
,DRINK TYPE,0,0,0,0,,,,,
,Delivery Service,0,5005945.88,0,3405405.36,,,,,
,EXTRA CHIMNEY ,0,4112026.97,0,2797297.26,,,,,
,EXTRA CONUT ,0,2190432.39,0,1490090.06,,,,,
,EXTRA DIP,0,3814054,0,2594594.56,,,,,
,EXTRA MINI SPREAD,0,119189.19,0,81081.08,,,,,
,Extras and Sides,0,80571890.82,0,54810810.08,,,,,
,FREE CHIMNEY TOP,0,18176351.11,0,12364864.7,,,,,
,FREE CONUT TOP,0,38098161.52,0,25917116.68,,,,,
,FREE MINI TOP,0,8977594.47,0,6107207.12,,,,,
,Frappes,0,31650026.66,0,21530630.38,,,,,
,Free Chimney Cake Spreads,0,238378.38,0,162162.16,,,,,
,Free Conut Spreads,0,91378.38,0,62162.16,,,,,
,Hot and Cold Drinks,0,125289021.8,0,85230627.09,,,,,
,Hot-Coffee Based,0,245201294.7,0,166803601.8,,,,,
,ITEMS,0,4551892085,0,3096525228,,,,,
,MARSHMALLOW OPTIONS,0,2145405.38,0,1459459.44,,,,,
,MILK OPTIONS,0,0,0,0,,,,,
,MINI/CONUT/BOWL ,0,18013459.14,0,12254053.84,,,,,
,Shakes,0,71394324.45,0,48567567.65,,,,,
,coffee type,0,0,0,0,,,,,
,free dip,0,119189.19,0,81081.08,,,,,
,free mini spread,0,60918.92,0,41441.44,,,,,
,TOTAL,0,5312181370,0,3613728823,,,,,
DELIVERY,TABLE,TAKE AWAY,TOTAL,,,,,,,
