report_date,context,section,item,delivery,table,take_away,total
30-Jan-26,Year: 2025 - All Months,Conut Jnah,MILK OPTIONS,0.0,0.0,0.0,0.0
30-Jan-26,Year: 2025 - All Months,Conut Jnah,MINI/CONUT/BOWL,0.0,10324432.25,0.0,7023423.3
30-Jan-26,Year: 2025 - All Months,Conut Jnah,Shakes,0.0,138855405.79,0.0,94459459.72
30-Jan-26,Year: 2025 - All Months,Conut Jnah,TOTAL,0.0,5689346280.21,0.0,3870303591.98
30-Jan-26,Year: 2025 - All Months,Conut Jnah,coffee type,0.0,0.0,0.0,0.0
30-Jan-26,Year: 2025 - All Months,Conut Jnah,free dip,0.0,357567.56,0.0,243243.24
30-Jan-26,Year: 2025 - All Months,Conut Jnah,free mini spread,0.0,60918.92,0.0,41441.44
30-Jan-26,Year: 2025 - All Months,Main Street Coffee,Bev Add-ons,0.0,7225513.37,0.0,4915315.22
30-Jan-26,Year: 2025 - All Months,Main Street Coffee,CHIMNEY TOPPINGS,0.0,57151215.45,0.0,38878377.86
30-Jan-26,Year: 2025 - All Months,Main Street Coffee,CONUT''S FAVORITE,0.0,40643513.06,0.0,27648648.34
30-Jan-26,Year: 2025 - All Months,Main Street Coffee,Conuts,0.0,0.0,0.0,0.0
30-Jan-26,Year: 2025 - All Months,Main Street Coffee,DRINK TYPE,0.0,0.0,0.0,0.0
30-Jan-26,Year: 2025 - All Months,Main Street Coffee,Delivery Service,0.0,5005945.88,0.0,3405405.36
30-Jan-26,Year: 2025 - All Months,Main Street Coffee,EXTRA CHIMNEY,0.0,4112026.97,0.0,2797297.26
30-Jan-26,Year: 2025 - All Months,Main Street Coffee,EXTRA CONUT,0.0,2190432.39,0.0,1490090.06
30-Jan-26,Year: 2025 - All Months,Main Street Coffee,EXTRA DIP,0.0,3814054.0,0.0,2594594.56
30-Jan-26,Year: 2025 - All Months,Main Street Coffee,EXTRA MINI SPREAD,0.0,119189.19,0.0,81081.08
30-Jan-26,Year: 2025 - All Months,Main Street Coffee,Extras and Sides,0.0,80571890.82,0.0,54810810.08
30-Jan-26,Year: 2025 - All Months,Main Street Coffee,FREE CHIMNEY TOP,0.0,18176351.11,0.0,12364864.7
30-Jan-26,Year: 2025 - All Months,Main Street Coffee,FREE CONUT TOP,0.0,38098161.52,0.0,25917116.68
30-Jan-26,Year: 2025 - All Months,Main Street Coffee,FREE MINI TOP,0.0,8977594.47,0.0,6107207.12
30-Jan-26,Year: 2025 - All Months,Main Street Coffee,Frappes,0.0,31650026.66,0.0,21530630.38
30-Jan-26,Year: 2025 - All Months,Main Street Coffee,Free Chimney Cake Spreads,0.0,238378.38,0.0,162162.16
30-Jan-26,Year: 2025 - All Months,Main Street Coffee,Free Conut Spreads,0.0,91378.38,0.0,62162.16
30-Jan-26,Year: 2025 - All Months,Main Street Coffee,Hot and Cold Drinks,0.0,125289021.82,0.0,85230627.09
30-Jan-26,Year: 2025 - All Months,Main Street Coffee,Hot-Coffee Based,0.0,245201294.65,0.0,166803601.8
30-Jan-26,Year: 2025 - All Months,Main Street Coffee,ITEMS,0.0,4551892085.15,0.0,3096525227.99
30-Jan-26,Year: 2025 - All Months,Main Street Coffee,MARSHMALLOW OPTIONS,0.0,2145405.38,0.0,1459459.44
30-Jan-26,Year: 2025 - All Months,Main Street Coffee,MILK OPTIONS,0.0,0.0,0.0,0.0
30-Jan-26,Year: 2025 - All Months,Main Street Coffee,MINI/CONUT/BOWL,0.0,18013459.14,0.0,12254053.84
30-Jan-26,Year: 2025 - All Months,Main Street Coffee,Shakes,0.0,71394324.45,0.0,48567567.65
30-Jan-26,Year: 2025 - All Months,Main Street Coffee,TOTAL,0.0,5312181370.32,0.0,3613728823.35
30-Jan-26,Year: 2025 - All Months,Main Street Coffee,coffee type,0.0,0.0,0.0,0.0
30-Jan-26,Year: 2025 - All Months,Main Street Coffee,free dip,0.0,119189.19,0.0,81081.08
30-Jan-26,Year: 2025 - All Months,Main Street Coffee,free mini spread,0.0,60918.92,0.0,41441.44
