report_date,context,branch,division,group,description,barcode,qty,total_amount
30-Jan-26,Years:2025 Months:0,Conut,FREE CONUT TOP,FREE CONUT TOP,"STRAWBERRY , (R)",,828.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CONUT TOP,FREE CONUT TOP,SWITCH TO ICE CREAM,,18.0,6436216.13
30-Jan-26,Years:2025 Months:0,Conut,FREE CONUT TOP,FREE CONUT TOP,"WHIPPED CREAM ,",,95.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE CONUT TOP,FREE CONUT TOP,WHIPPED CREAM . (P),,15.0,456891.88
30-Jan-26,Years:2025 Months:0,Conut,FREE CONUT TOP,FREE CONUT TOP,"WHITE CHOCOLATE SAUCE , (R)",,21.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE MINI TOP,FREE MINI TOP,BLUEBERRIES .(P),,6.0,182756.75
30-Jan-26,Years:2025 Months:0,Conut,FREE MINI TOP,FREE MINI TOP,"BROWNIES,(R)",,141.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE MINI TOP,FREE MINI TOP,"CARAMEL SAUCE ,(R)",,98.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE MINI TOP,FREE MINI TOP,CHERRY JAM .(P),,1.0,30459.46
30-Jan-26,Years:2025 Months:0,Conut,FREE MINI TOP,FREE MINI TOP,"CRISPY CREPE ,(R)",,1.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE MINI TOP,FREE MINI TOP,"CRUSHED LOTUS,(R)",,42.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE MINI TOP,FREE MINI TOP,"CRUSHED OREO ,(R)",,13.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE MINI TOP,FREE MINI TOP,DARK CHOCOLATE CHIPS .(P),,2.0,60918.92
30-Jan-26,Years:2025 Months:0,Conut,FREE MINI TOP,FREE MINI TOP,DARK CHOCOLATE SAUCE .(R),,0.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE MINI TOP,FREE MINI TOP,"FRUIT LOOPS ,(R)",,2.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE MINI TOP,FREE MINI TOP,GRANOLA BERRIES .(P),,1.0,30459.46
30-Jan-26,Years:2025 Months:0,Conut,FREE MINI TOP,FREE MINI TOP,"GUMMY BEARS,(R)",,3.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE MINI TOP,FREE MINI TOP,LOTUS SAUCE .(R),,5.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE MINI TOP,FREE MINI TOP,MARSHMALLOWS .(R),,6.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE MINI TOP,FREE MINI TOP,"NO TOPPINGS ,",,11.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE MINI TOP,FREE MINI TOP,"NUTELLA SAUCE ,(R)",,189.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE MINI TOP,FREE MINI TOP,PEANUT BUTTER CUP .(P),,1.0,30459.46
30-Jan-26,Years:2025 Months:0,Conut,FREE MINI TOP,FREE MINI TOP,"PISTACHIO SAUCE,(P)",,10.0,304594.58
30-Jan-26,Years:2025 Months:0,Conut,FREE MINI TOP,FREE MINI TOP,PISTACHIO TOPPING.,,33.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE MINI TOP,FREE MINI TOP,RASPBERRIES .(P),,2.0,60918.92
30-Jan-26,Years:2025 Months:0,Conut,FREE MINI TOP,FREE MINI TOP,RASPBERRY JAM .(P),,1.0,30459.46
30-Jan-26,Years:2025 Months:0,Conut,FREE MINI TOP,FREE MINI TOP,SALTED CARAMEL SAUCE .(R),,1.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE MINI TOP,FREE MINI TOP,"SPRINKLES,(R)",,3.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE MINI TOP,FREE MINI TOP,STRAWBERRY .(R),,226.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE MINI TOP,FREE MINI TOP,"WHIPPED CREAM ,(P)",,6.0,182756.75
30-Jan-26,Years:2025 Months:0,Conut,FREE MINI TOP,FREE MINI TOP,WHIPPED CREAM .,,36.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE MINI TOP,FREE MINI TOP,"WHITE CHOCOLATE SAUCE ,(R)",,3.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,FREE MINI TOP,FREE MINI TOP,switch to ice cream.,,8.0,2860540.5
30-Jan-26,Years:2025 Months:0,Conut,Frappes,Frappes,CARAMEL FRAPPE,,8.0,4290810.75
30-Jan-26,Years:2025 Months:0,Conut,Frappes,Frappes,CARAMEL MOCHA FRAPPE,,3.0,1609054.03
30-Jan-26,Years:2025 Months:0,Conut,Frappes,Frappes,ESPRESSO FRAPPE,,2.0,895243.23
30-Jan-26,Years:2025 Months:0,Conut,Frappes,Frappes,HAZELNUT MOCHA FRAPPE,,2.0,1072702.69
30-Jan-26,Years:2025 Months:0,Conut,Frappes,Frappes,MOCHA FRAPPE,,14.0,7508918.82
30-Jan-26,Years:2025 Months:0,Conut,Frappes,Frappes,SALTED CARAMEL FRAPPE,,2.0,1072702.69
30-Jan-26,Years:2025 Months:0,Conut,Frappes,Frappes,TOFFEE NUT FRAPPE,,1.0,536351.34
30-Jan-26,Years:2025 Months:0,Conut,Frappes,Frappes,VANILLA FRAPPE,,2.0,1072702.69
30-Jan-26,Years:2025 Months:0,Conut,Frappes,Frappes,WHITE MOCHA FRAPPE,,4.0,2145405.38
30-Jan-26,Years:2025 Months:0,Conut,Free Chimney Cake Spreads,Free Chimney Cake Spreads,LOTUS SPREAD CHIMNEY.,,70.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,Free Chimney Cake Spreads,Free Chimney Cake Spreads,NO SPREAD,,68.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,Free Chimney Cake Spreads,Free Chimney Cake Spreads,NUTELLA SPREAD CHIMNEY.,,1205.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,Free Chimney Cake Spreads,Free Chimney Cake Spreads,PISTACHIO SPREAD CHIMNEY.,,19.0,1132297.28
30-Jan-26,Years:2025 Months:0,Conut,Free Chimney Cake Spreads,Free Chimney Cake Spreads,WHITE CHOCOLATE SPREAD CHIMNEY.,,184.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,Free Conut Spreads,Free Conut Spreads,LOTUS SPREAD CONUT.,,50.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,Free Conut Spreads,Free Conut Spreads,NO SPREAD.,,31.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,Free Conut Spreads,Free Conut Spreads,NUTELLA SPREAD CONUT.,,972.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,Free Conut Spreads,Free Conut Spreads,PISTACHIO SPREAD CONUT.,,7.0,213216.21
30-Jan-26,Years:2025 Months:0,Conut,Free Conut Spreads,Free Conut Spreads,WHITE CHOCOLATE SPREAD CONUT.,,184.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,Holder,Holders,ARGENTINA,,1.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,Holder,Holders,ENGLAND HOLDER,,1.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,Hot and Cold Drinks,Hot and Cold Drinks,ICED CHOCOLATE,,3.0,1342864.84
30-Jan-26,Years:2025 Months:0,Conut,Hot and Cold Drinks,Hot and Cold Drinks,MANGO PASSION,,22.0,9177567.45
30-Jan-26,Years:2025 Months:0,Conut,Hot and Cold Drinks,Hot and Cold Drinks,MELON PASSION,,7.0,2920135.1
30-Jan-26,Years:2025 Months:0,Conut,Hot and Cold Drinks,Hot and Cold Drinks,VIA SPARKLING WATER,,24.0,4290810.75
30-Jan-26,Years:2025 Months:0,Conut,Hot and Cold Drinks,Hot and Cold Drinks,WATER,,907.0,72069724.84
30-Jan-26,Years:2025 Months:0,Conut,Hot and Cold Drinks,Hot and Cold Drinks,WILD BERRIES,,13.0,5423108.04
30-Jan-26,Years:2025 Months:0,Conut,Hot and Cold Drinks,Hot and Cold Drinks,WILD BERRIES PASSION,,2.0,834324.31
30-Jan-26,Years:2025 Months:0,Conut,Hot and Cold Drinks,TEA FLAVORS,EARL GREY,,1.0,297972.97
30-Jan-26,Years:2025 Months:0,Conut,Hot and Cold Drinks,TEA FLAVORS,GREEN TEA,,2.0,595945.94
30-Jan-26,Years:2025 Months:0,Conut,Hot and Cold Drinks,TEA FLAVORS,PEACH ICED TEA,,7.0,2920135.1
30-Jan-26,Years:2025 Months:0,Conut,Hot and Cold Drinks,TEA FLAVORS,PEPPERMINT TEA,,1.0,297972.97
30-Jan-26,Years:2025 Months:0,Conut,Hot and Cold Drinks,TEA FLAVORS,RASPBERRY ICED TEA,,3.0,1251486.47
30-Jan-26,Years:2025 Months:0,Conut,Hot-Coffee Based,CHIMNEY CAKE OPTIONS,PRESSED,,215.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,Hot-Coffee Based,CHIMNEY CAKE OPTIONS,REGULAR,,45.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,Hot-Coffee Based,Free Dressing,[CARAMEL DRESSING],,26.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,Hot-Coffee Based,Free Dressing,[CHOCOLATE DRESSING],,29.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,Hot-Coffee Based,Free Dressing,[NO DRESSING],,24.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,Hot-Coffee Based,Free Dressing,[SALTED CARAMEL DRESSING],,10.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,Hot-Coffee Based,Free Dressing,[STRAWBERRY DRESSING],,10.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,Hot-Coffee Based,Free Whipped Cream,NO WHIPPED CREAM,,61.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,Hot-Coffee Based,Free Whipped Cream,WHIPPED CREAM...,,42.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,Hot-Coffee Based,Hot-Coffee Based,AMERICAN COFFEE,,3.0,1072702.69
30-Jan-26,Years:2025 Months:0,Conut,Hot-Coffee Based,Hot-Coffee Based,CAFE MOCHA,,9.0,4564946.01
30-Jan-26,Years:2025 Months:0,Conut,Hot-Coffee Based,Hot-Coffee Based,CAFFE AMERICANO,,16.0,4264324.26
30-Jan-26,Years:2025 Months:0,Conut,Hot-Coffee Based,Hot-Coffee Based,CAFFE LATTE,,19.0,7926080.98
30-Jan-26,Years:2025 Months:0,Conut,Hot-Coffee Based,Hot-Coffee Based,CAPPUCCINO,,3.0,1251486.47
30-Jan-26,Years:2025 Months:0,Conut,Hot-Coffee Based,Hot-Coffee Based,CARAMEL MACHIATO,,5.0,2681756.72
30-Jan-26,Years:2025 Months:0,Conut,Hot-Coffee Based,Hot-Coffee Based,DOUBLE ESPRESSO,,31.0,10181405.25
30-Jan-26,Years:2025 Months:0,Conut,Hot-Coffee Based,Hot-Coffee Based,FLAT WHITE,,3.0,1164081.06
30-Jan-26,Years:2025 Months:0,Conut,Hot-Coffee Based,Hot-Coffee Based,SINGLE ESPRESSO,,7.0,1668648.63
30-Jan-26,Years:2025 Months:0,Conut,Hot-Coffee Based,Hot-Coffee Based,WHITE MOCHA,,4.0,2028864.89
30-Jan-26,Years:2025 Months:0,Conut,Hot-Coffee Based,OPTIONS ICE CREAM,ICE CREAM ON THE SIDE,,249.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,Hot-Coffee Based,OPTIONS ICE CREAM,ICE CREAM ON TOP,,257.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,BOSTON CHEESECAKE CHIMNEY,,14.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,BOSTON CHEESECAKE CONUT,,18.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,BOSTON CHEESECAKE MINI,,40.0,0.0
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,CHIMNEY BERRY MIX,,67.0,83849594.46
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,CHIMNEY BOSTON CHEESECAKE,,75.0,98331080.87
30-Jan-26,Years:2025 Months:0,Conut,ITEMS,ITEMS,CHIMNEY COMBO.,,14.0,55065405.49
